StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q63,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q3,Q4_1,Q4_2,Q4_3,Q5,Q7,Q62,Q9,Q10,Q11,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q60,Q15,Q12,Q13,Q16,Q14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your university?,"Please indicate your level of agreement or disagreement about learning outcomes for the course. 

As a result of taking this course I can... - List different cover crop species and functional groups.","Please indicate your level of agreement or disagreement about learning outcomes for the course. 

As a result of taking this course I can... - Recommend cover crop species or functional groups to achieve specific ecosystem services.","Please indicate your level of agreement or disagreement about learning outcomes for the course. 

As a result of taking this course I can... - Explain how climates, soils, and cropping systems might influence cover crop growth and management.","Please indicate your level of agreement or disagreement about learning outcomes for the course. 

As a result of taking this course I can... - Recommend a cover crop species or mixture to a farmer, given information about their climate, soil type, and management goals.","Please indicate your level of agreement or disagreement about learning outcomes for the course. 

As a result of taking this course I can... - List and describe the private economic costs and benefits of cover crops.","Please indicate your level of agreement or disagreement about learning outcomes for the course. 

As a result of taking this course I can... - Discuss the potential long-term benefits of cover crops.","Please indicate your level of agreement or disagreement about learning outcomes for the course. 

As a result of taking this course I can... - Explain how cover crop management (e.g., seeding time and termination method) influences agronomic and environmental outcomes.","Please indicate your level of agreement or disagreement about learning outcomes for the course. 

As a result of taking this course I can... - Discuss the social barriers to cover crop adoption.","Please indicate your level of agreement or disagreement about learning outcomes for the course. 

As a result of taking this course I can... - Design innovative solutions to complex problems in agriculture.","If you would like to provide additional comments or explanation for your responses above, please do so here (optional):",Indicate your level of agreement or disagreement with the following: - Having instructors from other regions and institutions was a valuable part of recorded lectures,Indicate your level of agreement or disagreement with the following: - Interacting with instructors and students from other regions and institutions was valuable during multi-site meetups (sync sessions),Indicate your level of agreement or disagreement with the following: - I would have preferred the lectures be delivered synchronously (live via Zoom or in-person),"If you would like to provide additional comments or explanation for your responses above, please do so here (optional):",Which lab activity was most effective in terms of learning?,Which lab activity was least effective in terms of learning?,What was your favorite multi-site meetup (sync session) activity?,What was your least favorite multi-site meetup (sync session) activity?,What is a topic you wish you had learned more about in this course?,Indicate your level of agreement or disagreement with the following statements relating to the Cover Crop Challenge: - The Cover Crop Challenge was a valuable activity,Indicate your level of agreement or disagreement with the following statements relating to the Cover Crop Challenge: - It increased my knowledge about the benefits and limitations of cover crops,Indicate your level of agreement or disagreement with the following statements relating to the Cover Crop Challenge: - I have increased knowledge of how environmental conditions (temperature and moisture) affect performance of individual species in a mixture,Indicate your level of agreement or disagreement with the following statements relating to the Cover Crop Challenge: - I have an increased understanding of cover crop seeding rates and costs,Indicate your level of agreement or disagreement with the following statements relating to the Cover Crop Challenge: - I learned more by collecting my own data than if the data had been provided to me,Indicate your level of agreement or disagreement with the following statements relating to the Cover Crop Challenge: - This activity improved my ability to use Excel for data manipulation and visualization,"Indicate your level of agreement or disagreement with the following statements relating to the Cover Crop Challenge: - As a result of this activity, I can more confidently convert values to different units","If you would like to provide additional comments or explanation for your responses above, please do so here (optional):","Rate the growth of your cover crop mixture on a scale of 1 (poor) to 5 (excellent). If you grew indoors and outdoors, consider performance of the mixture in the better environment when rating.",What did you like most about the Cover Crop Challenge activity?,What did you like least about the Cover Crop Challenge activity?,Describe an unexpected observation about cover crops from the Cover Crop Challenge.,Describe one thing you learned from the Cover Crop Challenge that you expect to use in the future.
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID100""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_11""}","{""ImportId"":""QID13_12""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID95_2""}","{""ImportId"":""QID95_3""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID89""}","{""ImportId"":""QID99""}","{""ImportId"":""QID91""}","{""ImportId"":""QID96""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID88_5""}","{""ImportId"":""QID88_8""}","{""ImportId"":""QID88_14""}","{""ImportId"":""QID88_15""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID84_TEXT""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID85_TEXT""}"
2023-11-28 13:25:53,2023-11-28 13:39:10,1,*******,100,797,1,2023-11-28 13:39:11,R_1o0dhv1fKvg434v,*******,*******,*******,*******,*******,*******,preview,EN,4,3,3,3,3,3,3,3,3,3,,5,5,5,,,,,,,3,3,3,3,3,3,3,,6,,,,
2023-11-28 14:11:26,2023-11-28 14:19:17,0,*******,100,471,1,2023-11-28 14:19:18,R_3Laq56APesByxKp,*******,*******,*******,*******,*******,*******,anonymous,EN,4,5,5,5,5,5,5,5,4,5,,7,6,1,,3,9,9,6,Cover crop use on an international level,5,4,4,5,4,5,5,,7,Going outside and sampling our plots,How the we were not able to process the results for our indoor results,I did not expect my biomass to be so low compared to everyone else (across states) in the CC challenge.,The importance of balancing seeding rate ratios with competitive and non-competitive species
2023-11-28 16:44:47,2023-11-28 17:02:47,0,*******,100,1079,1,2023-11-28 17:02:48,R_PYjbMLIKejbOv7j,*******,*******,*******,*******,*******,*******,anonymous,EN,4,5,4,4,4,5,4,5,5,4,,7,6,1,"The asynchronicity allowed me to pause and take in-depth, comprehensive notes that I would not have been able to do in lecture were live or posted after they were given live. ",12,9,11,9,"I wish I would have learned more about how cover crops are adapted into specialty crops more than we did. Cover crops can work in a lot of systems, but a lot of the information was geared toward those big monocultures. ",5,5,5,5,4,1,2,,4,"The underwear aspect was a fun way to comically look at characteristics of the cover crop mixtures. ","We did the mixtures at the very beginning of the year when I had no idea about what seeds to use, the seeding rate, species, etc. Did not set me up well for success. I was going in blind and unguided. ","I really did not know what I was doing, so when I saw the plot at harvest, I was really surprised. ","Looking at others' mixtures was more beneficial than my own, but seeing the benefits of each one was insightful. "
2023-11-28 18:54:02,2023-11-28 18:58:53,0,*******,100,290,1,2023-11-28 18:58:53,R_2e9dJj1Une8IRS2,*******,*******,*******,*******,*******,*******,anonymous,EN,4,5,4,3,4,2,5,3,4,4,,5,2,7,,2,11,10,3,I wish we did more exercises understanding when and where to plant different cover crop species. Like doing more case studies maybe,5,5,4,4,5,5,5,,7,I liked getting hands on,"There’s nothing I didn’t like about it ",I think I was surprised my grasses didn’t grow as fast as my buckwheat or vetch,I learned how good buckwheat and radish is as a late season cover crop
2023-11-29 14:28:52,2023-11-29 14:36:02,0,*******,100,429,1,2023-11-29 14:36:03,R_3RgNUOkKCnUWZIm,*******,*******,*******,*******,*******,*******,anonymous,EN,7,5,5,5,4,4,5,5,4,4,,7,7,5,,13,2,3,6,Most of the lectures cover example of cover cropping in row crops only. I would like to see more examples of cover crops from cattle farming,5,5,5,4,5,4,5,,8,Selecting cover crop species and then observing their growth at the time of harvesting,,Radish struggling to grow in the pots,how to select different species for a cover crop mixture
2023-11-29 14:33:41,2023-11-29 14:46:29,0,*******,100,768,1,2023-11-29 14:46:30,R_AuKZma8b6qDJp1n,*******,*******,*******,*******,*******,*******,anonymous,EN,7,5,5,4,4,5,5,4,3,5,,2,7,6,,3,11,10,2,Exploration of new/innovative cover crop species,4,5,5,5,4,1,3,,8,Creative freedom to select mixtures and species; tying cost considerations to real world examples,"I found the outdoor experiment the most beneficial, I did not enjoy the greenhouse aspect of the activity.",Moisture is the most important consideration for establishment in my opinion.,Grasses and brassicas are reliable to establish; helpful for choking out weed competition.
2023-11-30 17:05:00,2023-11-30 17:19:15,0,*******,100,855,1,2023-11-30 17:19:16,R_2zdVNB6TUkGxEfv,*******,*******,*******,*******,*******,*******,anonymous,EN,7,4,4,4,4,4,4,4,4,4,,7,7,5,,7,1,8,11,How the affect of different methods of termination can effect the availability of nutrients.,5,5,5,5,5,3,4,,6,"That there can be a difference in growing conditions inside and outside, areas that normally should grow well might not always and places that may not grow as well as it might.",The little amount of overall data collected.,Two mixes planted right next to each other with one species different had a vast growth difference.,That even in a close area there can be different growth habits and affect on weed suspression.
2023-12-01 09:02:04,2023-12-01 09:06:59,0,*******,100,295,1,2023-12-01 09:07:00,R_BFdtcuNzlMiXFEB,*******,*******,*******,*******,*******,*******,anonymous,EN,1,5,5,5,5,5,5,5,5,5,,7,7,2,,2,11,2,1,,5,5,5,5,5,5,5,,7,,,,
